y+,U+,uv+,uu+,vv+,ww+,tau_uv/tau_w,tau_nu/tau_w,tau/tau_w,P+,pp+,up+
103.46,16.523,-0.86996,3.8486,1.1694,1.8752,0.86996,0.023103,0.89306,-1.1694,6.4065,0.57882
106.2,16.585,-0.86768,3.8253,1.1683,1.8626,0.86768,0.022599,0.89027,-1.1683,6.3282,0.56832
108.98,16.647,-0.86535,3.8026,1.167,1.8502,0.86535,0.022115,0.88746,-1.1669,6.2512,0.55818
111.79,16.709,-0.86297,3.7806,1.1655,1.8379,0.86297,0.021649,0.88462,-1.1654,6.1755,0.54842
114.64,16.77,-0.86055,3.7591,1.1638,1.8258,0.86055,0.0212,0.88175,-1.1638,6.1011,0.53905
117.52,16.83,-0.85808,3.738,1.162,1.814,0.85808,0.020768,0.87885,-1.1619,6.0279,0.53009
120.43,16.89,-0.85557,3.7174,1.16,1.8023,0.85557,0.020353,0.87593,-1.16,5.956,0.52152
123.38,16.95,-0.85302,3.6971,1.1579,1.7909,0.85302,0.019954,0.87298,-1.1579,5.8854,0.51334
126.36,17.008,-0.85043,3.6771,1.1557,1.7796,0.85043,0.019568,0.87,-1.1556,5.8159,0.50557
129.37,17.067,-0.8478,3.6575,1.1533,1.7684,0.8478,0.019195,0.867,-1.1533,5.7476,0.49822
132.42,17.125,-0.84513,3.6382,1.1509,1.7574,0.84513,0.018836,0.86397,-1.1509,5.6806,0.49131
135.49,17.182,-0.84243,3.6191,1.1484,1.7466,0.84243,0.01849,0.86092,-1.1484,5.6148,0.48477
138.61,17.239,-0.83968,3.6003,1.1458,1.7359,0.83968,0.018155,0.85784,-1.1458,5.5504,0.47855
141.75,17.296,-0.8369,3.5815,1.1431,1.7253,0.8369,0.017831,0.85473,-1.1431,5.4871,0.47261
144.93,17.352,-0.83409,3.563,1.1404,1.7148,0.83409,0.017519,0.8516,-1.1404,5.4251,0.46692
148.14,17.408,-0.83124,3.5445,1.1377,1.7043,0.83124,0.017216,0.84845,-1.1376,5.3644,0.46151
151.38,17.463,-0.82835,3.5261,1.1349,1.6939,0.82835,0.016921,0.84527,-1.1348,5.3048,0.45636
154.65,17.518,-0.82544,3.5079,1.132,1.6835,0.82544,0.016633,0.84207,-1.132,5.2466,0.4515
157.96,17.572,-0.82249,3.4897,1.1291,1.6732,0.82249,0.016352,0.83884,-1.1291,5.1896,0.44691
161.29,17.627,-0.81951,3.4716,1.1262,1.663,0.81951,0.016081,0.83559,-1.1261,5.1338,0.44259
164.66,17.68,-0.8165,3.4535,1.1231,1.6529,0.8165,0.01582,0.83232,-1.1231,5.0792,0.43851
168.06,17.734,-0.81345,3.4355,1.12,1.6428,0.81345,0.015567,0.82902,-1.12,5.0256,0.43464
171.5,17.787,-0.81037,3.4174,1.1169,1.6329,0.81037,0.015321,0.82569,-1.1168,4.9731,0.43099
174.96,17.839,-0.80726,3.3992,1.1137,1.623,0.80726,0.015081,0.82234,-1.1136,4.9214,0.42754
178.45,17.892,-0.80412,3.3811,1.1104,1.6132,0.80412,0.014844,0.81896,-1.1103,4.8707,0.42429
181.98,17.944,-0.80094,3.3629,1.107,1.6035,0.80094,0.014615,0.81556,-1.107,4.8207,0.42125
185.54,17.995,-0.79773,3.3447,1.1036,1.5937,0.79773,0.014394,0.81212,-1.1035,4.7713,0.41843
189.13,18.046,-0.79449,3.3265,1.1001,1.584,0.79449,0.01418,0.80867,-1.1,4.7224,0.41581
192.74,18.097,-0.79121,3.3085,1.0965,1.5743,0.79121,0.013972,0.80518,-1.0964,4.674,0.41339
196.39,18.148,-0.7879,3.2905,1.0928,1.5646,0.7879,0.013769,0.80167,-1.0927,4.626,0.41114
200.07,18.198,-0.78456,3.2726,1.0891,1.5549,0.78456,0.013569,0.79813,-1.089,4.5782,0.40905
203.78,18.248,-0.78119,3.2548,1.0853,1.5452,0.78119,0.013368,0.79456,-1.0852,4.5308,0.4071
207.52,18.298,-0.77779,3.237,1.0814,1.5356,0.77779,0.013167,0.79096,-1.0813,4.4835,0.4053
211.29,18.347,-0.77437,3.2193,1.0775,1.5261,0.77437,0.012967,0.78733,-1.0773,4.4365,0.40367
215.09,18.396,-0.77091,3.2016,1.0735,1.5167,0.77091,0.012769,0.78368,-1.0733,4.3896,0.40222
218.92,18.445,-0.76742,3.1839,1.0694,1.5074,0.76742,0.012575,0.78,-1.0693,4.3431,0.40092
222.78,18.493,-0.7639,3.1661,1.0653,1.4983,0.7639,0.012384,0.77629,-1.0651,4.2969,0.39977
226.67,18.54,-0.76035,3.1484,1.0611,1.4892,0.76035,0.012199,0.77255,-1.061,4.2509,0.39876
230.59,18.588,-0.75676,3.1305,1.0569,1.4801,0.75676,0.012019,0.76878,-1.0567,4.2054,0.39785
234.54,18.635,-0.75314,3.1127,1.0526,1.4712,0.75314,0.011844,0.76499,-1.0525,4.1601,0.39704
238.52,18.682,-0.74949,3.0948,1.0483,1.4623,0.74949,0.011672,0.76116,-1.0481,4.1151,0.39633
242.52,18.728,-0.74581,3.0769,1.0439,1.4535,0.74581,0.011504,0.75732,-1.0437,4.0703,0.39571
246.56,18.774,-0.7421,3.0588,1.0394,1.4448,0.7421,0.011342,0.75345,-1.0392,4.0257,0.39515
250.62,18.82,-0.73836,3.0406,1.0349,1.4362,0.73836,0.011185,0.74955,-1.0347,3.9813,0.39463
254.71,18.865,-0.7346,3.0223,1.0304,1.4277,0.7346,0.011036,0.74563,-1.0302,3.9372,0.39417
258.83,18.911,-0.7308,3.004,1.0257,1.4192,0.7308,0.010892,0.74169,-1.0255,3.8936,0.39379
262.98,18.956,-0.72698,2.9856,1.0211,1.4108,0.72698,0.010755,0.73773,-1.0209,3.8505,0.39352
267.15,19,-0.72313,2.9673,1.0164,1.4025,0.72313,0.010624,0.73375,-1.0162,3.808,0.39332
271.35,19.045,-0.71925,2.9489,1.0117,1.3941,0.71925,0.010497,0.72975,-1.0115,3.7662,0.3932
275.58,19.089,-0.71535,2.9306,1.007,1.3858,0.71535,0.01037,0.72572,-1.0068,3.725,0.39313
279.84,19.133,-0.71144,2.9122,1.0022,1.3775,0.71144,0.010243,0.72168,-1.002,3.6843,0.39309
